feature SRR28380565 SRR28380566 SRR28380568 SRR28380570 SRR28380572 SRR28380573 SRR28380580 SRR28380582 SRR28380584 SRR28380586 SRR28380588 SRR28380589
ENSG00000005238 4136 8764 12900 6880 5367 5273 3439 8942 3919 3342 3936 3752
ENSG00000005243 2 14 9 4 1 1 4 11 4 5 0 4
ENSG00000005249 19 64 31 71 13 18 103 41 98 27 27 45
ENSG00000005302 2414 4524 4302 6789 3211 2820 2457 7070 4365 5116 4186 9464
ENSG00000005339 9784 12752 12754 19981 14452 15673 9970 9146 16218 12626 6210 10309
ENSG00000005379 114 745 572 340 381 272 376 1176 423 305 424 257
ENSG00000005381 8 147 657 546 40 53 44 17 48 49 57 33
ENSG00000005421 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000005436 19 80 68 66 7 26 27 53 48 34 48 46
ENSG00000005448 11 67 62 45 11 21 16 73 29 37 44 32
ENSG00000005469 28 54 76 54 21 37 37 48 48 76 32 43
ENSG00000005471 0 12 0 7 2 2 7 1 6 4 0 5
ENSG00000005483 5968 6309 5745 11103 6368 7171 6437 4057 10569 10340 3414 5677
ENSG00000005486 950 3433 2967 1844 1041 846 758 1962 1186 1553 1205 1216
ENSG00000005513 0 13 9 3 1 0 1 4 2 2 3 1
ENSG00000005700 52 177 119 250 37 138 146 159 215 194 95 213
ENSG00000005801 42 180 117 123 36 70 75 113 91 102 62 57
ENSG00000005810 1980 2039 2101 4232 2263 3339 2839 1652 2725 2707 1168 2349
ENSG00000005812 2310 2076 1944 3049 1267 1666 2427 1551 3527 3820 1452 2458
ENSG00000005844 8633 16944 31945 17600 11336 12457 9474 20096 12170 9396 8752 15525
ENSG00000005882 35 179 114 92 22 42 35 84 39 50 23 31
ENSG00000005884 3 33 36 14 16 13 11 18 5 14 11 16
ENSG00000005889 1741 1772 1652 3010 1692 2081 2032 1627 2146 2257 1260 1348
ENSG00000005893 19270 18558 18172 28371 16009 18228 17911 18173 22302 21668 15692 15938
ENSG00000005961 27 305 143 96 38 19 36 96 92 34 39 16
ENSG00000005981 0 0 0 0 0 0 0 0 1 0 0 0
ENSG00000006007 3123 5019 4061 6467 2158 2370 2058 3058 2849 2949 2003 2942
ENSG00000006015 82 342 235 146 94 80 48 175 115 106 60 59
ENSG00000006016 2 0 3 1 5 2 3 8 2 1 0 2
ENSG00000006025 39 242 299 120 50 70 73 158 79 129 63 125
ENSG00000006042 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000006047 0 0 0 0 0 2 0 1 0 0 1 0
ENSG00000006059 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000006062 970 2259 2520 1852 1097 960 615 1482 617 731 768 303
ENSG00000006071 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000006116 0 0 0 0 1 0 0 0 0 0 0 0
ENSG00000006118 0 0 1 1 0 0 0 1 1 1 0 0
ENSG00000006125 1626 3054 2825 2969 1255 1610 1659 2490 2132 2220 1368 3400
ENSG00000006128 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000006194 191 429 423 253 171 168 207 324 164 145 145 58
ENSG00000006210 0 0 0 0 0 0 0 0 1 1 0 2
ENSG00000006282 2 199 196 117 23 27 32 74 93 71 46 13
ENSG00000006283 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000006327 212 587 750 228 235 254 278 348 213 119 187 149
ENSG00000006377 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000006432 13 46 43 31 18 25 21 34 20 34 20 19
ENSG00000006451 147 226 290 228 73 98 154 204 204 231 144 220
ENSG00000006453 0 5 1 2 1 2 1 11 9 1 7 5
ENSG00000006459 5332 4839 6199 9316 5363 7452 5789 5880 9235 5855 3295 6721
ENSG00000006468 2 0 0 0 0 0 1 1 0 0 0 2
ENSG00000006530 20 111 62 67 22 44 52 107 68 82 49 63
ENSG00000006534 485 1360 1637 910 399 423 451 730 1026 964 260 1602
ENSG00000006555 49 127 153 141 53 52 40 141 47 84 39 104
ENSG00000006576 323 340 147 352 157 242 457 338 389 458 210 359
ENSG00000006606 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000006607 82 161 156 141 82 91 109 109 80 106 54 50
ENSG00000006611 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000006625 12 57 47 37 3 12 12 30 21 26 28 16
ENSG00000006634 61 231 109 97 38 55 213 121 79 67 81 74
ENSG00000006638 4 8 4 8 0 0 3 1 4 1 0 2
ENSG00000006652 4450 6094 3161 6101 4848 3912 2744 10097 5991 3108 2387 2474
ENSG00000006659 0 2 0 0 0 0 0 0 1 0 0 0
ENSG00000006695 16 76 70 60 13 21 27 84 46 41 21 39
ENSG00000006704 0 3 10 3 0 0 4 5 0 1 2 3
ENSG00000006712 1009 2052 2935 1983 1419 993 942 2477 1367 1512 1324 1072
ENSG00000006715 1533 1075 2587 1597 1109 1487 1112 1871 1407 1437 1227 1017
ENSG00000006740 1 2 0 1 1 0 0 0 0 0 0 0
ENSG00000006744 79 262 303 233 82 94 113 218 181 158 122 139
ENSG00000006747 1 0 0 2 0 0 0 3 5 3 0 1
ENSG00000006756 172 276 462 419 167 137 184 266 283 310 154 590
ENSG00000006757 4 15 27 54 11 13 6 31 22 20 14 18
ENSG00000006788 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000006831 1110 2085 2365 1990 831 1218 1267 1308 880 957 931 740
ENSG00000006837 0 0 10 1 3 1 2 11 0 2 0 0
ENSG00000007001 0 0 0 0 0 0 0 0 0 1 0 0
ENSG00000007038 2 53 6 19 3 7 7 46 9 11 7 2
ENSG00000007047 268 1001 1101 877 284 226 491 678 773 653 557 365
ENSG00000007062 0 2 3 2 2 0 1 1 2 0 0 5
ENSG00000007080 32 157 179 89 36 32 19 37 63 38 38 37
ENSG00000007129 201 529 314 128 257 217 171 462 311 235 307 227
ENSG00000007168 4233 6532 7958 7166 3557 4911 4703 6386 5176 4901 3802 4135
ENSG00000007171 0 1 1 4 6 1 1 4 3 5 0 0
ENSG00000007174 0 0 0 0 0 0 0 0 1 0 0 0
ENSG00000007202 2035 3084 3757 3843 2334 2893 2708 3157 2046 2158 1500 1966
ENSG00000007216 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000007237 2020 3674 7452 4670 4630 3763 2264 3483 2075 3219 2429 5659
ENSG00000007255 11 159 130 42 18 9 19 40 37 45 15 39
ENSG00000007264 26 160 169 75 47 30 35 120 38 126 65 137
ENSG00000007306 0 3 3 3 1 2 1 8 6 6 6 1
ENSG00000007312 5 108 35 66 9 18 10 37 34 51 7 29
ENSG00000007314 0 2 5 1 1 3 0 2 1 0 0 0
ENSG00000007341 74 122 122 222 252 143 108 380 178 211 83 192
ENSG00000007350 20 131 134 39 12 50 63 86 74 12 23 13
ENSG00000007372 0 0 1 0 0 0 0 1 0 0 0 0
ENSG00000007376 73 369 268 157 111 78 57 124 90 123 81 125
ENSG00000007384 0 0 0 3 0 0 1 0 0 0 0 0
ENSG00000007392 224 682 825 445 225 286 318 660 235 283 275 279
ENSG00000007402 10 62 55 24 19 25 39 54 18 55 22 46
ENSG00000007516 542 1243 1068 751 634 485 124 1531 689 136 355 1650
ENSG00000007520 174 645 675 347 166 117 109 295 212 210 128 185
ENSG00000007541 105 442 475 240 174 83 58 180 92 116 82 74
ENSG00000007545 167 360 490 348 194 219 166 332 104 173 181 141
ENSG00000007866 5 13 8 7 12 6 6 17 5 23 18 6
ENSG00000007908 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000007923 37 171 206 136 55 75 63 101 113 100 63 119
ENSG00000007933 0 0 0 0 0 1 0 0 0 0 0 0
ENSG00000007944 4037 7257 5248 9465 6419 5528 4164 8310 6677 4703 3367 2789
ENSG00000007952 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000007968 18 149 146 107 36 26 33 44 63 58 30 150
ENSG00000008018 2073 5432 4661 2935 1214 1913 2164 3306 1670 1558 2046 1109
ENSG00000008056 7 14 16 11 1 3 1 0 2 2 8 6
ENSG00000008083 3509 4148 5227 5218 3560 4125 3837 4266 4506 2958 1833 1018
ENSG00000008086 582 670 788 1447 955 933 672 635 647 576 371 516
ENSG00000008118 0 0 0 0 2 0 2 1 0 0 1 2
ENSG00000008128 56 72 96 75 94 47 45 89 53 46 30 35
ENSG00000008130 13824 21068 38770 27840 14230 14901 10058 23167 25034 26712 15803 21743
ENSG00000008196 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000008197 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000008226 66 125 154 193 137 121 30 70 54 98 68 46
ENSG00000008256 104 184 317 213 132 159 119 152 127 130 78 228
ENSG00000008277 5 6 13 11 5 9 14 15 9 18 6 11
ENSG00000008282 441 563 601 637 241 289 663 560 702 894 548 516
ENSG00000008283 565 315 597 468 535 415 662 669 331 586 461 210
ENSG00000008294 6993 7785 8507 12558 8490 9957 7274 7296 7869 6852 4947 3949
ENSG00000008300 7 38 38 15 13 20 17 25 25 46 15 14
ENSG00000008311 3 25 4 13 2 18 6 21 14 25 10 10
ENSG00000008323 1 0 1 4 1 1 3 1 0 4 2 0
