feature SRR28380565 SRR28380566 SRR28380568 SRR28380570 SRR28380572 SRR28380573 SRR28380580 SRR28380582 SRR28380584 SRR28380586 SRR28380588 SRR28380589
ENSG00000202317 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202318 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202322 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202324 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202329 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202331 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202332 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202334 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202335 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202336 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202337 0 6 1 2 0 1 1 1 1 0 0 0
ENSG00000202339 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202341 0 0 0 0 1 0 0 0 0 0 0 0
ENSG00000202343 3 0 1 4 4 4 5 3 5 2 5 3
ENSG00000202344 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202345 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202347 0 2 0 1 1 3 0 4 3 1 1 0
ENSG00000202350 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202351 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202354 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202356 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202357 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202358 3 1 0 2 2 2 1 0 4 6 3 3
ENSG00000202360 0 0 0 0 0 0 0 0 0 0 1 2
ENSG00000202361 0 0 0 0 0 0 0 0 0 1 0 0
ENSG00000202363 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202368 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202373 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202374 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202377 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202379 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202380 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202382 1 0 6 3 1 2 1 2 2 1 2 3
ENSG00000202383 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202385 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202386 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202388 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202389 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202392 5 7 6 6 6 14 5 10 10 5 7 3
ENSG00000202395 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202398 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202399 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202400 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202402 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202406 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202407 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202408 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202410 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202411 0 0 0 0 0 0 0 1 0 0 0 0
ENSG00000202412 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202414 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202415 2 3 4 2 5 1 1 8 0 0 0 1
ENSG00000202417 0 0 0 0 0 0 0 0 0 0 0 1
ENSG00000202422 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202423 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202427 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202428 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202429 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202430 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202431 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202433 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202434 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202438 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202440 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202441 1 0 0 0 0 0 1 0 0 0 1 0
ENSG00000202444 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202445 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202449 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202459 0 1 0 0 1 0 0 1 0 0 4 0
ENSG00000202461 0 0 0 0 1 0 0 0 0 0 0 0
ENSG00000202468 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202469 0 0 0 0 0 1 0 0 0 0 0 0
ENSG00000202470 0 0 0 0 0 0 0 0 0 0 1 0
ENSG00000202471 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202472 1 8 0 1 2 0 1 3 0 0 1 2
ENSG00000202473 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202474 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202476 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202478 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202479 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202485 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202490 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202491 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202495 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202497 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202498 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202499 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202502 0 0 0 0 1 0 0 0 0 0 0 0
ENSG00000202503 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202508 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202512 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202513 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202514 0 0 0 0 0 0 0 0 0 1 0 0
ENSG00000202515 0 11 1 1 0 1 1 0 0 0 0 0
ENSG00000202517 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202521 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202522 1 0 0 0 0 0 1 0 0 0 0 0
ENSG00000202523 0 0 0 1 0 1 0 0 2 1 0 3
ENSG00000202526 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202528 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202529 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202532 0 0 0 0 0 0 0 0 0 0 1 0
ENSG00000202533 16 21 70 55 46 27 44 93 84 85 94 79
ENSG00000202534 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202536 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202537 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202538 0 3 10 6 1 2 4 1 1 1 12 0
ENSG00000202542 0 0 0 0 0 0 0 0 1 0 0 0
ENSG00000202560 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202566 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202569 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202601 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000202609 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203258 0 0 0 0 0 1 0 0 0 0 0 0
ENSG00000203262 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203266 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203279 12 6 23 19 6 9 2 11 22 27 6 13
ENSG00000203280 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203286 2 4 4 5 11 11 6 9 4 6 3 5
ENSG00000203288 1 8 8 8 0 0 3 3 1 8 6 6
ENSG00000203307 0 0 0 0 0 0 0 0 2 0 0 0
ENSG00000203321 1 0 0 0 1 0 1 4 2 0 1 2
ENSG00000203325 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203326 7 42 32 48 9 26 16 23 23 31 14 21
ENSG00000203327 2 0 0 0 1 0 2 1 0 2 1 2
ENSG00000203334 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203335 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203356 0 1 3 0 0 0 1 2 1 1 0 0
ENSG00000203362 0 0 1 0 0 0 0 0 2 1 0 0
ENSG00000203363 20 2 2 10 8 22 6 7 41 17 7 2
ENSG00000203364 0 0 2 2 0 2 0 3 0 1 0 0
ENSG00000203387 0 0 0 0 0 0 0 0 0 0 1 0
ENSG00000203392 0 2 2 1 1 0 0 2 0 2 2 0
ENSG00000203395 0 0 0 2 0 0 1 1 0 0 0 0
ENSG00000203396 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203397 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203402 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203408 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203411 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203413 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203414 0 0 0 0 0 0 0 0 0 0 0 3
ENSG00000203416 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203434 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203435 1 2 6 6 6 3 3 3 3 1 5 1
ENSG00000203436 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203437 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203446 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203462 0 0 0 0 0 0 0 0 0 1 0 0
ENSG00000203469 0 0 1 0 0 1 0 0 0 0 0 0
ENSG00000203472 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203485 19 264 157 25 34 27 8 50 73 43 15 35
ENSG00000203489 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203492 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203496 0 0 1 2 2 0 0 0 0 1 2 0
ENSG00000203497 1226 2339 1790 2043 942 982 1090 2014 1004 1359 1284 451
ENSG00000203498 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203499 0 0 1 1 1 0 0 0 0 1 0 0
ENSG00000203506 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203523 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203527 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203531 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203546 2 4 2 5 0 2 1 5 0 1 0 2
ENSG00000203560 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203565 0 0 0 0 0 0 0 0 0 1 0 0
ENSG00000203573 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203581 1 0 0 3 2 1 1 1 1 0 0 0
ENSG00000203585 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203588 0 0 0 0 2 0 1 0 0 1 0 0
ENSG00000203593 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203601 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203605 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203616 2 5 3 5 0 1 2 1 5 2 0 3
ENSG00000203618 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203620 0 0 0 0 0 0 0 1 0 0 0 1
ENSG00000203635 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203643 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203644 3134 3098 1904 3749 2267 2753 3421 3223 3899 3146 2904 921
ENSG00000203645 1 1 1 5 0 3 1 1 0 2 1 0
ENSG00000203647 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203648 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203650 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203661 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203663 0 2 0 0 0 0 2 0 0 1 0 1
ENSG00000203664 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203666 169 256 165 211 272 124 206 379 386 518 270 441
ENSG00000203667 228 252 308 363 142 241 235 283 339 310 222 197
ENSG00000203668 45 63 37 128 65 69 109 54 156 105 51 81
ENSG00000203684 0 1 3 1 3 4 1 7 1 0 0 0
ENSG00000203685 0 0 0 0 0 0 0 1 0 0 0 0
ENSG00000203688 0 0 0 0 1 0 0 0 0 0 0 0
ENSG00000203690 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203697 0 3 3 0 4 2 0 0 1 1 0 1
ENSG00000203705 719 814 925 998 542 499 400 656 753 703 551 537
ENSG00000203706 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203709 1602 1030 1775 1726 3046 1211 1441 2097 821 865 650 379
ENSG00000203710 12584 13668 10875 28603 14336 15739 7376 13467 15075 16190 10118 25785
ENSG00000203711 1 0 2 3 6 2 0 4 3 1 1 0
ENSG00000203721 95 81 121 145 122 75 25 209 73 61 51 150
ENSG00000203722 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203724 0 2 0 0 0 0 0 4 0 0 0 0
ENSG00000203727 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203729 1 0 2 8 3 2 1 1 0 3 0 0
ENSG00000203730 0 0 0 0 0 1 1 0 0 0 0 0
ENSG00000203733 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203734 2 0 5 2 0 2 1 0 1 3 1 3
ENSG00000203737 0 1 8 3 1 2 1 8 1 0 2 0
ENSG00000203739 71 92 106 121 91 78 38 217 98 119 83 142
ENSG00000203740 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203747 13858 7273 17409 18369 9699 6243 6992 16989 24591 36342 15789 8055
ENSG00000203756 0 0 0 0 1 0 2 0 0 1 2 0
ENSG00000203757 3 5 2 3 3 1 2 3 3 3 0 0
ENSG00000203758 0 0 0 0 0 0 1 0 0 0 0 0
ENSG00000203760 3 12 20 25 2 1 8 14 9 1 3 10
ENSG00000203761 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203772 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203778 0 8 7 6 1 2 0 2 0 2 0 1
ENSG00000203780 3 6 2 5 0 1 0 4 0 3 0 0
ENSG00000203781 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203782 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203783 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203784 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203785 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203786 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203791 30 37 38 34 7 10 15 26 19 22 11 22
ENSG00000203795 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203797 1 4 0 6 0 0 9 2 2 2 1 12
ENSG00000203799 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203801 75 45 77 63 38 46 29 111 77 48 20 15
ENSG00000203804 139 170 307 318 544 267 258 554 459 508 192 129
ENSG00000203805 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203808 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203809 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203811 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203814 112 65 1505 177 271 98 105 5886 359 190 90 144
ENSG00000203825 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203837 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203852 0 0 0 0 0 0 0 1 0 1 0 0
ENSG00000203855 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203857 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203858 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203859 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203864 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203865 13 7 14 25 28 19 27 19 29 35 15 23
ENSG00000203867 1 3 4 0 1 1 1 1 1 1 0 0
ENSG00000203870 1 1 3 2 2 1 2 2 2 4 3 0
ENSG00000203872 36 51 89 90 22 63 16 59 40 42 28 47
ENSG00000203875 35 64 55 70 47 72 61 88 72 68 50 24
ENSG00000203876 24 58 40 45 17 37 27 46 32 23 12 30
ENSG00000203877 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203878 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203879 3894 8319 15242 7008 4677 4410 3142 11923 4351 3753 4970 3782
ENSG00000203880 1638 1538 1734 2809 1094 1726 1347 1326 1875 1741 854 976
ENSG00000203883 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203896 13 23 57 32 17 17 14 21 32 32 20 47
ENSG00000203897 0 3 0 0 0 0 1 4 0 0 1 1
ENSG00000203900 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203907 0 2 2 3 1 0 1 2 4 3 0 3
ENSG00000203908 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203909 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203910 0 0 0 0 0 0 0 0 1 0 0 0
ENSG00000203914 3 0 0 0 0 0 0 0 0 1 0 0
ENSG00000203923 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203926 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203930 0 0 0 0 0 0 0 2 0 0 0 0
ENSG00000203933 0 0 0 0 0 0 0 1 0 0 0 0
ENSG00000203942 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203943 0 0 1 0 1 0 2 0 0 0 0 0
ENSG00000203950 64 151 120 61 47 34 41 85 66 47 49 54
ENSG00000203952 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203963 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203965 16 36 27 48 17 32 15 44 28 44 15 103
ENSG00000203970 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203971 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203972 1 0 0 0 1 0 0 0 0 0 0 0
ENSG00000203985 0 0 0 1 0 0 0 0 0 0 0 0
ENSG00000203987 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203989 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000203993 34 79 128 83 16 34 25 58 33 53 30 51
ENSG00000203995 0 0 0 0 0 1 0 0 0 0 1 0
ENSG00000203999 533 1741 1586 1533 985 1203 631 976 483 598 1084 269
ENSG00000204001 0 0 0 1 1 0 0 4 0 10 0 0
ENSG00000204003 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000204006 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000204007 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000204010 2 13 21 5 0 1 32 7 55 42 9 21
ENSG00000204011 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000204019 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000204020 228 964 256 1999 886 1301 665 1358 2164 324 596 2274
ENSG00000204021 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000204022 1 0 0 0 1 2 1 0 3 2 0 1
ENSG00000204025 0 0 0 0 0 1 0 0 0 0 0 0
ENSG00000204031 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000204033 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000204044 7 1 3 2 3 5 7 2 11 0 4 59
ENSG00000204049 0 0 0 0 0 0 0 0 2 0 0 0
ENSG00000204052 0 5 6 2 0 1 2 0 2 2 0 1
ENSG00000204053 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000204054 3038 4964 4447 4139 3095 2973 2511 5674 2634 4824 3445 1896
ENSG00000204055 0 1 0 1 1 0 0 0 0 1 0 0
ENSG00000204060 0 2 0 0 0 2 0 0 0 0 0 0
ENSG00000204065 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000204070 535 1108 1040 969 636 528 662 882 633 536 441 332
ENSG00000204071 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000204072 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000204084 466 1337 854 818 467 419 420 1258 354 588 533 304
ENSG00000204086 1 0 3 7 4 1 3 8 3 1 2 4
ENSG00000204091 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000204099 0 1 2 4 4 0 1 10 0 1 0 0
ENSG00000204103 61 673 395 280 95 183 2386 731 1238 347 451 804
ENSG00000204104 17 45 54 64 27 35 33 35 44 40 27 30
ENSG00000204110 4 7 11 3 0 1 5 15 3 3 2 2
ENSG00000204113 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000204116 16 82 39 40 16 19 37 47 45 60 39 36
ENSG00000204117 0 0 0 0 0 1 0 0 0 0 0 0
ENSG00000204118 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000204120 1042 1302 1759 2045 1067 1340 1018 1240 1158 1375 821 775
ENSG00000204121 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000204128 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000204130 151 143 202 190 149 149 180 145 177 250 128 143
ENSG00000204131 7905 8245 9652 13306 9342 10950 4377 6645 10167 7850 4781 5690
ENSG00000204136 9 40 97 59 19 25 47 36 13 25 38 65
ENSG00000204138 148 263 390 280 144 205 229 208 164 247 135 333
ENSG00000204140 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000204147 2 9 8 8 2 3 7 14 10 5 2 5
ENSG00000204148 0 0 0 0 0 0 0 0 0 1 0 0
ENSG00000204149 5 21 38 32 11 12 9 10 14 14 13 10
ENSG00000204152 10 38 17 19 17 13 19 31 27 18 15 17
ENSG00000204160 28858 61110 69303 53884 30536 31556 26305 46975 31447 28881 27913 20690
ENSG00000204161 742 1382 1829 1650 768 2142 749 1074 695 919 525 619
ENSG00000204165 5 11 18 8 13 8 9 23 21 18 9 4
ENSG00000204172 4 72 17 15 7 5 7 15 35 25 13 13
ENSG00000204173 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000204174 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000204175 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000204176 0 0 0 0 0 0 0 5 3 4 0 1
ENSG00000204177 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000204178 194 311 398 290 111 154 302 299 205 279 184 291
ENSG00000204179 0 0 2 0 0 0 0 3 0 0 2 0
ENSG00000204183 0 0 0 0 0 0 1 0 0 0 0 0
ENSG00000204186 15 27 11 42 8 34 27 20 37 48 12 23
ENSG00000204188 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000204193 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000204194 0 11 7 4 1 5 4 1 1 3 2 1
ENSG00000204195 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000204196 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000204209 1084 1515 3047 1863 910 884 616 1760 1328 1516 1058 1424
ENSG00000204217 169 202 156 414 185 245 457 165 882 720 283 879
ENSG00000204219 1 74 37 27 2 10 4 24 35 19 13 19
ENSG00000204220 108 229 326 189 83 77 86 218 99 133 125 69
ENSG00000204227 346 905 1062 518 334 306 268 503 291 307 301 275
ENSG00000204228 10 69 50 29 9 19 10 38 14 15 20 7
ENSG00000204231 1930 3224 4694 3731 1885 2171 1316 3359 1766 2312 2082 1730
ENSG00000204237 99 269 272 163 70 77 67 140 109 112 63 80
ENSG00000204241 0 6 0 0 0 2 0 3 2 2 1 0
ENSG00000204246 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000204248 21 60 76 73 39 42 20 24 25 37 24 34
ENSG00000204250 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000204252 14 161 67 131 16 53 55 97 74 110 20 44
ENSG00000204253 353 412 493 439 188 227 243 484 310 281 285 197
ENSG00000204256 9889 16566 25901 20448 16712 16708 15696 13380 19120 11098 9337 7801
ENSG00000204257 309 1953 663 604 426 375 996 990 649 242 394 421
ENSG00000204261 2054 2593 3528 3361 1616 1893 1351 3221 2036 2659 2341 1400
ENSG00000204262 0 1 5 4 2 1 2 0 2 5 3 2
ENSG00000204264 5430 9370 11233 9197 6417 5544 8578 11073 7428 6397 9059 5046
ENSG00000204267 4547 4974 4627 4998 4799 3973 6136 5572 7163 8619 7496 4420
ENSG00000204271 8 69 47 27 14 22 16 52 41 50 36 33
ENSG00000204272 15 134 93 50 16 25 44 91 34 39 35 48
ENSG00000204277 2 8 2 4 1 0 2 3 1 8 3 0
ENSG00000204278 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000204279 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000204283 18 101 28 96 86 51 47 68 17 6 17 1
ENSG00000204287 2517 8985 2502 5166 1395 2205 8936 5877 3413 1711 2334 3548
ENSG00000204290 0 0 1 0 0 0 0 0 0 3 1 0
ENSG00000204291 2 4 0 0 0 1 4 1 1 0 3 7
ENSG00000204296 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000204300 1 0 0 0 0 1 0 0 0 0 0 0
ENSG00000204301 15 73 59 23 23 21 25 41 16 12 15 10
ENSG00000204304 14181 21526 29626 23590 15323 14948 12596 21708 14138 15253 12940 9981
ENSG00000204305 1232 3685 5965 2804 1560 1742 863 3794 1845 1555 1862 1872
ENSG00000204308 401 784 892 510 242 280 371 465 301 332 319 209
ENSG00000204310 1094 2387 2259 1725 922 1003 1024 1723 1136 1390 945 1657
ENSG00000204311 0 10 9 7 0 5 0 11 5 7 3 7
ENSG00000204314 2 7 6 1 0 2 0 5 4 0 0 1
ENSG00000204315 575 443 1044 536 243 209 185 422 227 411 321 183
ENSG00000204316 4 23 50 20 9 13 11 27 17 15 17 11
ENSG00000204323 14 38 20 17 12 13 7 34 17 15 6 16
ENSG00000204334 0 0 0 2 0 0 1 0 0 1 0 1
ENSG00000204335 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000204338 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000204344 333 665 687 495 383 366 264 600 302 377 245 246
ENSG00000204345 29 21 7 43 13 48 22 18 10 5 40 31
ENSG00000204347 0 0 3 0 0 0 0 1 0 1 0 1
ENSG00000204348 435 962 1191 694 1028 562 354 1348 484 331 375 274
ENSG00000204351 1654 3538 4486 2763 2733 2057 1488 4041 1709 1901 1831 1628
ENSG00000204352 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000204356 868 2216 2339 1356 731 750 781 1890 747 816 934 441
ENSG00000204361 0 0 0 2 0 0 0 0 0 0 0 0
ENSG00000204362 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000204363 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000204366 1 2 10 2 1 1 1 3 0 1 1 3
ENSG00000204368 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000204370 1233 812 785 1421 597 816 955 1312 877 774 1013 605
ENSG00000204371 182 398 438 332 118 165 132 220 194 282 111 170
ENSG00000204379 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000204380 1 0 1 1 0 1 0 0 1 0 0 1
ENSG00000204381 1 3 0 3 1 0 0 0 3 1 0 1
ENSG00000204382 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000204385 8 9 10 0 0 3 0 0 0 0 0 1
ENSG00000204386 1211 2098 3822 2205 1572 1019 1147 2367 1524 1321 1219 1174
ENSG00000204387 143 992 718 555 144 186 259 497 337 313 267 250
ENSG00000204388 70 92 181 181 123 59 154 283 219 490 237 201
ENSG00000204389 2402 6053 10238 6699 3482 3198 1784 5371 3878 4323 3546 6468
